Nombre de la Unidad Económica,Razón social,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Número exterior o kilómetro,Tipo de asentamiento humano,Nombre de asentamiento humano,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Latitud,Longitud,Fecha de incorporación al DENUE
C. ADANA AGUASCALIENTES,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,AVENIDA,Tecnológico,120,COLONIA,EJIDO OJOCALIENTE,20196,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1354,21.87745117,-102.2596567,2019-04
C. AGUASCALIENTES,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,AVENIDA,AGUASCALIENTES PONIENTE,1601,FRACCIONAMIENTO,LA FUNDICION,20230,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,233,21.90324905,-102.3160823,2010-07
C. ALTARIA AGS,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,A ZACATECAS,849,COLONIA,TROJES DE ALONSO,20116,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1320,21.92353107,-102.2903862,2010-07
C. CARREFOUR AGUASCALIENTES,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,JOSÉ MARÍA CHÁVEZ,1809,COLONIA,PRADOS DE VILLASUNCION,20280,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1458,21.85472126,-102.2927186,2010-07
C. VELARIA MALL,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,AGOSTADERITO,2615,COLONIA,NUEVA ESPANA,20205,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1320,21.92437708,-102.2902873,2010-07
CINEMEX  AGUASCALIENTES,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,AVENIDA,INDEPENDENCIA,2351,COLONIA,TROJES DE ALONSO,20130,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,229,21.92346465,-102.2978104,2011-03
CINEMEX EXPOPLAZA AGUACALIENTES,OPERADORA DE CINEMAS SA DE CV,31 a 50 personas,PROLONGACION,LICENCIADO ADOLFO LÓPEZ MATEOS PONIENTE,0,COLONIA,CENTRO,20000,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,695,21.87585483,-102.305706,2017-03
CINEMEX RINCON DE ROMOS,OPERADORA DE CINEMAS SA DE CV,31 a 50 personas,CALLE,DOCTOR FRANCISCO GUEL JIMENEZ,108,COLONIA,RINCON DE ROMOS,20416,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,695,21.87569447,-102.3064117,2010-07
INTERCINEMAS,,6 a 10 personas,CALLE,BENITO JUAREZ,213,COLONIA,CENTRO,20800,1,AGUASCALIENTES,3,Calvillo,1,Calvillo,187,21.84721265,-102.716546,2010-07
OPERADORA DE CINES KRISTAL,OPERADORA DE CINES KRISTAL SA DE CV,11 a 30 personas,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS ORIENTE,1001,COLONIA,LA HUERTA,20250,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,816,21.87848497,-102.2807359,2010-07
BIG MOON AUTO CINEMA,,0 a 5 personas,BOULEVARD,BOULEVARD DE LOS INSURGENTES,,COLONIA,LOS ALAMOS,22114,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,2490,32.50242687,-116.942174,2019-11
C. BOULEVARD 2000 TIJUANA,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,CORREDOR,TIJUANA ROSARITO,26135,COLONIA,EJIDO FRANCISCO VILLA,22235,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,6474,32.49313356,-116.8504068,2014-12
C. CARROUSEL,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,DIAZ ORDAZ,15602,FRACCIONAMIENTO,LAS BRISAS,22610,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,3431,32.4955582,-116.9606401,2010-07
C. CENTENARIO MEXICALI,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,LAZARO CARDENAS,2139,FRACCIONAMIENTO,RESIDENCIAS,21280,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,4666,32.62483016,-115.4432625,2010-07
C. CENTRO CÍVICO,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,AVENIDA,DE LOS HÉROES,0,COLONIA,CENTRO CIVICO,21000,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,031A,32.64518395,-115.4719349,2010-07
C. ENSENADA,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,AVENIDA,PEDRO LOYOLA,612,COLONIA,CARLOS PACHECO,22830,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,5991,31.82062798,-116.6016554,2010-07
C. GALERÍAS DEL VALLE MEXICALI,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,LAZARO CARDENAS,2200,COLONIA,EL PORVENIR,21220,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,4740,32.62351312,-115.5072544,2010-07
C. LA PAJARITA,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,CALLE,ORIENTE,7002,COLONIA,LOMAS DEL MAR TIJUANA,22564,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,7769,32.44233565,-117.0366934,2011-03
C. MARINA ENSENADA,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,COSTERO,656,COLONIA,CENTRO,22800,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,632,31.86135632,-116.6268026,2014-12
C. NUEVO MEXICALI,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,PROLONGACION,NOVENA,0,COLONIA,NUEVO MEXICALI,21399,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,615A,32.61236463,-115.3861286,2010-07
C. OTAY TIJUANA,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,CALZADA,TECNOLOGICO,2100,COLONIA,OTAY CONSTITUYENTES,22457,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,282,32.53324776,-116.955612,2010-07
C. PASEO CHAPULTEPEC,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,BOULEVARD,Agua Caliente,10387,COLONIA,CHAPULTEPEC,22020,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,4374,32.51485089,-117.0117544,2014-12
C. PLAZA CORONADO TIJUANA,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,AVENIDA,PASEO ENSENADA,502,FRACCIONAMIENTO,PLAYAS DE TIJUANA SECCION,22504,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,1401,32.53167204,-117.1150219,2010-07
C. PLAZA MONARCA,CINEPOLIS DE MEXICO SA DE CV,101 a 250 personas,BOULEVARD,Manuel J. Clouthier,18561,FRACCIONAMIENTO,EL LAGO,22550,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,7078,32.49947443,-116.9185558,2010-07
C. PLAZA RÍO TIJUANA,CINEPOLIS DE MEXICO SA DE CV,101 a 250 personas,AVENIDA,Paseo de los Héroes,9550,COLONIA,ZONA RÍO,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,3357,32.52799225,-117.0219415,2010-07
C. ROSARITO BAJA CALIFORNIA,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,BENITO JUÁREZ,300,COLONIA,REFORMA,22710,2,BAJA CALIFORNIA,5,Playas de Rosarito,1,Playas de Rosarito,218,32.37899907,-117.0580187,2010-07
C. SENDERO TIJUANA,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,CARRETERA,Libre a Tecate,25452,COLONIA,FIDEICOMISO EL FLORIDO,22245,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,7805,32.45368486,-116.8375041,2011-03
C. TECATE,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,BOULEVARD,NUEVO LEÓN,700,COLONIA,EL PEDREGAL,21480,2,BAJA CALIFORNIA,3,Tecate,1,Tecate,942,32.56603589,-116.6341319,2010-07
C. VIP GALERÍAS HIPÓDROMO TIJUANA,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,AGUA CALIENTE,11999,COLONIA,HIPODROMO AGUA CALIENTE,22024,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,1628,32.50931888,-116.993428,2011-03
CINE TONALA TIJUANA,GRUPO TONALA TIJUANA SA DE CV,31 a 50 personas,AVENIDA,REVOLUCION,310,COLONIA,ZONA CENTRO,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,3022,32.53001715,-117.036452,2017-11
CINEMEX,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,BOULEVARD,Boulevard de los Insurgentes,202,COLONIA,RIO TIJUANA 3A ETAPA,22226,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,583,32.4945514,-116.9314819,2014-12
CINEMEX,OPERADORA DE CINEMAS SA DE CV,31 a 50 personas,CALLE,RAMPA AEROPUERTO,16000,COLONIA,CENTRO COMERCIAL OTAY,22425,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,3893,32.53234538,-116.9509004,2019-11
CINEMEX LA GRAN VIA MEXICALI,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,CALZADA,CALZADA DE LAS AMÉRICAS,0,COLONIA,CATAVINA,21240,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,3884,32.65402116,-115.4110615,2017-11
CINEMEX LOMA BONITA,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,BOULEVARD,NUEVA AURORA,7200,COLONIA,LOMA BONITA NORTE,22604,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,1191,32.4833229,-117.0513972,2016-01
CINEMEX LOPEZ MATEOS,OPERADORA DE CINEMAS SA DE CV,31 a 50 personas,BOULEVARD,ADOLFO LOPEZ MATEOS,856,COLONIA,ZONA INDUSTRIAL,21150,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,273A,32.65590712,-115.4774646,2010-07
CINEMEX MUNDO DIVERTIDO TIJUANA,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,CALLE,VIA RAPIDA PONIENTE,15035,HACIENDA,SAN JOSE 2A ETAPA,22610,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,579,32.50449188,-116.9568387,2010-07
CINEMEX OASIS,OPERADORA DE CINEMAS SA DE CV,31 a 50 personas,BOULEVARD,REAL DE BAJA CALIFORNIA,23911,COLONIA,EJIDO FRANCISCO VILLA,22235,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,728A,32.48548583,-116.8507611,2013-07
CINEMEX PAVILION ZONA DEL RIO,OPERADORA DE CINEMAS SA DE CV,31 a 50 personas,AVENIDA,PASEO DE LOS HÉROES,9111,COLONIA,ZONA DEL RIO,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,3836,32.53106588,-117.0266173,2016-01
CINEMEX PLAZA CARRANZA,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,BOULEVARD,LÁZARO CÁRDENAS,2000,COLONIA,PLUTARCO ELIAS CALLES,21254,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,533A,32.62364595,-115.4069799,2017-11
CINEMEX PLAZA MINARETE TIJUANA,OPERADORA DE CINEMAS SA DE CV,31 a 50 personas,BOULEVARD,GENERAL RODOLFO SÁNCHEZ TABOADA,4555,COLONIA,ZONA DEL RIO,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,3380,32.51706486,-117.0083123,2010-07
CINEMEX TIJUANA PACIFICO,OPERADORA DE CINEMAS SA DE CV,31 a 50 personas,CALLE,SALVADOR ROSAS MAGALLON O LIBRAMIENTO SUR,7501,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL PACIFICO,22643,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,6614,32.47676574,-116.9947341,2019-11
GRAN CINEMA LATINO,,0 a 5 personas,CALLE,EMILIANO ZAPATA (QUINTA),8012,COLONIA,ZONA CENTRO,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,2946,32.53170656,-117.0396035,2014-12
PROJECTION SALAS,,6 a 10 personas,AVENIDA,ADOLFO LOPEZ MATEOS,720,COLONIA,ZONA CENTYRO,22800,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,721,31.86200683,-116.6253495,2010-07
TEATRO MAYA,TEATRO MAYA ,0 a 5 personas,CALLE,CUARTA,338,COLONIA,ZONA CENTRO,22800,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,717,31.86741944,-116.6270157,2010-07
C. LA PAZ,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,FORJADORES DE SUDCALIFORNIA,4215,FRACCIONAMIENTO,EX BASE AEREA,23070,3,BAJA CALIFORNIA SUR,3,La Paz,1,La Paz,3104,24.12650395,-110.3118709,2010-07
C. LA PAZ BCS,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,CALZADA,General Agustín Olachea Avilés,8010,COLONIA,EL ZACATAL,23088,3,BAJA CALIFORNIA SUR,3,La Paz,1,La Paz,5079,24.11699503,-110.3415374,2014-12
C. MC PASEO LA PAZ,CINEPOLIS DE MEXICO SA DE CV,11 a 30 personas,AVENIDA,General Agustín Olachea Avilés,1515,COLONIA,EL ZACATAL,23088,3,BAJA CALIFORNIA SUR,3,La Paz,1,La Paz,5079,24.11898731,-110.3393481,2014-12
C. SAN JOSÉ DEL CABO,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,BOULEVARD,MAURICIO CASTRO,1738,COLONIA,CLUB DE GOLF FONATUR,23400,3,BAJA CALIFORNIA SUR,8,Los Cabos,1,San José del Cabo,394,23.05298215,-109.7034735,2010-07
C. SENDERO LOS CABOS,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,AVENIDA,LAS BRISAS,2404,COLONIA,BRISAS DEL PACIFICO,23473,3,BAJA CALIFORNIA SUR,8,Los Cabos,54,Cabo San Lucas,1725,22.90367882,-109.9347389,2012-06
CINEMEX LA PAZ,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,CALZADA,MARIANO ABASOLO,4120,COLONIA,CAPULLO SECTOR INALAPA,23080,3,BAJA CALIFORNIA SUR,3,La Paz,1,La Paz,2233,24.14054168,-110.3349291,2014-12
CINEMEX PUERTO PARAISO,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,AVENIDA,LÁZARO CÁRDENAS,0,COLONIA,EL MEDANO,23410,3,BAJA CALIFORNIA SUR,8,Los Cabos,54,Cabo San Lucas,356,22.88770066,-109.9108322,2010-07
CINEMEX SAN JOSE DE CABO,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,AUTOPISTA,TRANSPENINSULAR,0,COLONIA,EL ZACATAL,23427,3,BAJA CALIFORNIA SUR,8,Los Cabos,1,San José del Cabo,2988,23.09699917,-109.7097227,2019-11
CINEMEX SAN JOSÉ DE LOS CABOS,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,BOULEVARD,TRANSPENINSULAR,0,COLONIA,SANTA ROSA FUNDADOR,23428,3,BAJA CALIFORNIA SUR,8,Los Cabos,1,San José del Cabo,2988,23.09687513,-109.7096926,2017-11
SPIRAL KIOSCO CINEPOLIS,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,AVENIDA DE LAS BRISAS,,COLONIA,REFORMA,23474,3,BAJA CALIFORNIA SUR,8,Los Cabos,54,Cabo San Lucas,1725,22.90310017,-109.9329456,2020-11
SPIRAL KIOSCO CINEPOLIS,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,AVENIDA DE LAS BRISAS,,COLONIA,REFORMA,23474,3,BAJA CALIFORNIA SUR,8,Los Cabos,54,Cabo San Lucas,1725,22.90310017,-109.9329456,2020-11
C. GALERÍAS CAMPECHE,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,AVENIDA,Pedro Sáinz de Baranda,139,COLONIA,CENTRO,24000,4,CAMPECHE,2,Campeche,1,San Francisco de Campeche,2404,19.85694294,-90.52376379,2014-12
C. VIP ZENTRALIA CIUDAD DEL CARMEN,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,Corregidora,26,COLONIA,AEROPUERTO,24199,4,CAMPECHE,3,Carmen,1,Ciudad del Carmen,1314,18.65307938,-91.80853357,2017-03
CINE ATLANTIS,,6 a 10 personas,CALLE,5,0,COLONIA,LOS LAURELES,24400,4,CAMPECHE,4,Champotón,1,Champotón,972,19.34497198,-90.73124284,2010-07
CINEMA CANINO REAL,,0 a 5 personas,CALLE,19,95,BARRIO,CONCEPION,24902,4,CAMPECHE,1,Calkiní,1,Calkiní,345,20.37004414,-90.04921022,2019-11
CINEMEX CUIDAD DEL CARMEN,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,AVENIDA,CONCORDIA,0,COLONIA,ASA PONIENTE,24179,4,CAMPECHE,3,Carmen,1,Ciudad del Carmen,1314,18.6498686,-91.8129741,2010-07
CINEMEX PALMIRA,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,CALLE,ISLA DE TRIS,2,COLONIA,PALMIRA,24154,4,CAMPECHE,3,Carmen,1,Ciudad del Carmen,3147,18.65407666,-91.79028149,2010-07
C VIP GALERIAS LAGUNA,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,Raúl López Sánchez,6000,FRACCIONAMIENTO,EL FRESNO,27018,5,COAHUILA DE ZARAGOZA,35,Torreón,1,Torreón,761,25.58268156,-103.4041698,2020-04
C. CIUDAD ACUÑA,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,LIBRAMIENTO EMILIO MENDOZA CISNEROS,2000,COLONIA,AEROPUERTO,26230,5,COAHUILA DE ZARAGOZA,2,Acuña,1,Ciudad Acuña,2907,29.32624778,-100.976126,2014-12
C. CUATRO CAMINOS,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,INDEPENDENCIA,1300,COLONIA,NAVARRO,27010,5,COAHUILA DE ZARAGOZA,35,Torreón,1,Torreón,51,25.5592166,-103.4340769,2014-12
C. GALERÍAS LAGUNA,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,PERIFERICO,RAÚL LÓPEZ SÁNCHEZ,6000,FRACCIONAMIENTO,EL FRESNO,27018,5,COAHUILA DE ZARAGOZA,35,Torreón,1,Torreón,761,25.58329455,-103.4054478,2010-07
C. SALTILLO LA NOGALERA,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,PERIFERICO,LUIS ECHEVERRIA ALVAREZ,1474,COLONIA,LOURDES,25070,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo,4594,25.38860226,-100.9942636,2010-07
C. SENDERO SALTILLO,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,DOCTOR JESÚS VALDEZ SÁNCHEZ,365,COLONIA,COL EXHACIENDA DE LOS CERRITOS,25010,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo,1373,25.44611466,-100.9580117,2010-07
CINE CASTAÑOS,,0 a 5 personas,CALLE,VICENTE GUERRERO,,COLONIA,FRACC VENUSTIANO CARRANZA,25870,5,COAHUILA DE ZARAGOZA,6,Castaños,1,Castaños,401,26.78564863,-101.4310606,2019-11
CINE GEMELOS CAVISA,EXHIBIDORA DEL BRAVO SA DE CV,11 a 30 personas,AVENIDA,EMILIO CARRANZA,1806,COLONIA,BUENA VISTA NORTE,26040,5,COAHUILA DE ZARAGOZA,25,Piedras Negras,1,Piedras Negras,591,28.69402824,-100.534007,2010-07
CINE OLIMPIA,,0 a 5 personas,CALLE,IGNACIO ALLENDE,1047,COLONIA,SALTILLO ZONA CENTRO,25000,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo,163,25.43087145,-100.9972205,2014-12
CINE TEATRO HERCULES,MINERA DEL NORTE SA DE CV,0 a 5 personas,AVENIDA,AVENIDA DEL OLIMPO,,COLONIA,HERCULES,27600,5,COAHUILA DE ZARAGOZA,34,Sierra Mojada,25,Hércules,1635,28.04189776,-103.7909547,2014-12
CINEMEX CD ACUÑA,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,CALLE,LIBRAMIENTO JOSE DE LAS FUENTES RODRIGUEZ ,595,COLONIA,LA AMISTAD,25194,5,COAHUILA DE ZARAGOZA,2,Acuña,1,Ciudad Acuña,306A,29.32054038,-100.9559471,2014-12
CINEMEX GALERÍAS SALTILLO,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,BOULEVARD,NAZARIO S. ORTIZ GARZA,0,COLONIA,VILLA OLIMPICA NORTE,25198,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo,1335,25.45843007,-100.9781404,2013-07
CINEMEX INTERMALL,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,CALZADA,JOSÉ VASCONCELOS,1955,COLONIA,TECNOLÓGICO,27272,5,COAHUILA DE ZARAGOZA,35,Torreón,1,Torreón,1064,25.51615342,-103.3961059,2013-07
CINEMEX LOURDES,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,PERIFERICO,LUIS ECHEVERRÍA,1511,COLONIA,LOURDES,25020,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo,2827,25.38981583,-100.9961839,2014-12
CINEMEX MIRASIERRA,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,BOULEVARD,LOS FUNDADORES,2500,COLONIA,MIRASIERRA,25016,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo,4151,25.43360469,-100.9225191,2019-11
CINEMEX MONCLOVA,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,AVENIDA,HUEMAC,0,COLONIA,ANAHUAC,25756,5,COAHUILA DE ZARAGOZA,18,Monclova,1,Monclova,053A,26.90246396,-101.435743,2014-12
CINEMEX PLAZ REAL SALTILLO,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,PERIFERICO,LUIS ECHEVERRÍA,851,COLONIA,REPUBLICA NORTE,25280,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo,74,25.44370055,-100.9814487,2017-03
CINEMEX PLAZA BELLA RAMOS ARIZPE,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,BOULEVARD,PLAN DE GUADALUPE,1200,COLONIA,RAMOS ARIZPE CENTRO,25900,5,COAHUILA DE ZARAGOZA,27,Ramos Arizpe,1,Ramos Arizpe,651,25.54776435,-100.9427692,2019-11
CINEMEX PLAZA INOVA,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,CALLE,LIBRAMIENTO MANUEL PÉREZ TREVIÑO,2700,COLONIA,TECNOLOGICO,26080,5,COAHUILA DE ZARAGOZA,25,Piedras Negras,1,Piedras Negras,676,28.68781329,-100.5578315,2019-11
CINEMEX POP SAN PEDRO,CINEMEX  SAN PEDRO SA DE CV,31 a 50 personas,AVENIDA,PANAMERICANA,0,COLONIA,LOS NOGALES,27822,5,COAHUILA DE ZARAGOZA,33,San Pedro,1,San Pedro,1708,25.75742428,-103.0020339,2020-11
CINEMEX TORREON,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,AVENIDA,TORREÓN-MATAMOROS,5000,COLONIA,PROVITEC,27089,5,COAHUILA DE ZARAGOZA,35,Torreón,1,Torreón,418,25.53503366,-103.3955751,2014-12
CINEPOLIS,CINEPOLIS SA DE CV,31 a 50 personas,BOULEVARD,EMILIO ARIZPE DE LA MAZA,2019,COLONIA,PARQUES DE LA CAÑADA,25080,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo,1852,25.37610343,-101.0131038,2020-11
CINEPOLIS,CINEPOLIS SA DE CV,31 a 50 personas,BOULEVARD,LIBRAMIENTO EMILIO MENDOZA CISNEROS,2000,COLONIA,AEROPUERTO,26230,5,COAHUILA DE ZARAGOZA,2,Acuña,1,Ciudad Acuña,288A,29.32708681,-100.9769653,2020-11
CINEPOLIS MC. MATAMOROS,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,Cuauhtémoc,505,COLONIA,CENTRO,27440,5,COAHUILA DE ZARAGOZA,17,Matamoros,1,Matamoros,15,25.5314556,-103.2336037,2020-04
CINÉPOLIS MC. SAN PEDRO COAHUILA,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,MIGUEL HIDALGO,267,COLONIA,SALTILLO,27850,5,COAHUILA DE ZARAGOZA,33,San Pedro,1,San Pedro,106A,25.75874894,-102.9768135,2019-04
CINEPOLIS PASEO MONCLOVA,CINEPOLIS DE MEXICO SA DE CV,101 a 250 personas,AVENIDA,LAZARO CARDENAS,,COLONIA,ESTANCIAS DE SAN JUAN BAUTISTA,25733,5,COAHUILA DE ZARAGOZA,18,Monclova,1,Monclova,039A,26.95111772,-101.4201201,2020-11
CINEPOLIS PASEO MONCLOVA,ENRALE SA DE CV,31 a 50 personas,AVENIDA,LÁZARO CÁRDENAS,0,COLONIA,ESTANCIAS SN JUAN BAUTI,,5,COAHUILA DE ZARAGOZA,18,Monclova,1,Monclova,039A,26.9510929,-101.4201343,2021-05
CINEPOLIS SENDERO SALTILLO SUR,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,BOULEVARD,Emilio Arizpe de la Maza,4159,AMPLIACION,LOURDES,25070,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo,1852,25.37610369,-101.0132549,2020-04
CITICINEMAS,GRUPO CINEMAS DEL PACIFICO SA DE CV,31 a 50 personas,CALLE,PEDRO RODRIGUEZ TRIANA,1950,COLONIA,LA MERCED II,27276,5,COAHUILA DE ZARAGOZA,35,Torreón,1,Torreón,3111,25.50694044,-103.397076,2010-07
ESTACIONAMIENTO,ADCONINS ,6 a 10 personas,PERIFERICO,RAUL LOPEZ SANCHEZ,6000,RESIDENCIAL,EL FRESNO,27018,5,COAHUILA DE ZARAGOZA,35,Torreón,1,Torreón,761,25.5818242,-103.4023823,2020-11
EXHIBIDORA DEL BRAVO,EXHIBIDORA DEL BRAVO SA DE CV,11 a 30 personas,CALLE,PADRE DE LAS CASAS,403,COLONIA,CENTRO,26000,5,COAHUILA DE ZARAGOZA,25,Piedras Negras,1,Piedras Negras,549,28.69954147,-100.5159755,2010-07
RIO CINEMAS ALAMEDA,EXHIBIDORA DEL BRAVO SA DE CV,11 a 30 personas,CALLE,GUADALUPE VICTORIA,685,COLONIA,CENTRO,25000,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo,286,25.42434951,-101.0067864,2010-07
RIO CINEMAS AZTECA,EXHIBIDORA DEL BRAVO SA DE CV,11 a 30 personas,CALLE,CUAUHTÉMOC,414,COLONIA,EL PUEBLO,25730,5,COAHUILA DE ZARAGOZA,18,Monclova,1,Monclova,991,26.90828768,-101.4183714,2010-07
RIO CINEMAS CHAPULTEPEC,EXHIBIDORA DEL BRAVO SA DE CV,11 a 30 personas,AVENIDA,ADOLFO LÓPEZ MATEOS,0,COLONIA,CHAPULTEPEC,26860,5,COAHUILA DE ZARAGOZA,32,San Juan de Sabinas,14,Nueva Rosita,401,27.93715923,-101.2175276,2010-07
RIO CINEMAS NAVA,EXHIBIDORA DEL BRAVO SA DE CV,11 a 30 personas,CALLE,NEGRETE,0,COLONIA,ZONA CENTRO,26170,5,COAHUILA DE ZARAGOZA,22,Nava,1,Nava,301,28.42468376,-100.7754108,2019-11
